城市,City,Lon,Lat
亳州,Bozhou,115.7879282,33.87121057
池州,Chizhou,117.4944768,30.66001925
宣城,Xuancheng,118.7520963,30.95164235
福州,Fuzhou1,119.3302211,26.0471255
厦门,Xiamen,118.103886,24.48923061
莆田,Putian,119.077731,25.44845014
三明,Sanming,117.6421939,26.27083528
泉州,Quanzhou,118.6003623,24.90165238
漳州,Zhangzhou,117.6762047,24.51706478
南平,Nanping,118.1818829,26.64362647
龙岩,Longyan,117.0179967,25.07868543
宁德,Ningde,119.5420821,26.65652742
南昌,Nanchang,115.8935275,28.689578
景德镇,Jingdezhen,117.1865226,29.30356277
萍乡,Pingxiang,113.859917,27.63954422
九江,Jiujiang,115.999848,29.71963953
新余,Xinyu,114.9471174,27.82232156
鹰潭,Yingtan,117.0354502,28.2413096
赣州,Ganzhou,114.9359091,25.84529554
吉安,Ji'an,114.9920387,27.11384765
宜春,Yichun2,114.4000387,27.8111299
抚州,Fuzhou2,116.3609189,27.95454517
上饶,Shangrao,117.9554639,28.45762255
济南,Jinan,117.0249671,36.68278473
青岛,Qingdao,120.3844282,36.1052149
淄博,Zibo,118.0591343,36.80468485
枣庄,Zaozhuang,117.2793054,34.80788308
东营,Dongying,118.5839263,37.48712116
烟台,Yantai,121.309555,37.53656156
潍坊,Weifang,119.1426338,36.71611487
济宁,Jining,116.6007976,35.40212166
泰安,Tai'an,117.0894149,36.18807776
威海,Weihai,122.0939584,37.52878708
日照,Rizhao,119.5071799,35.42022519
临沂,Linyi,118.3407682,35.07240907
德州,Dezhou,116.3281614,37.46082593
聊城,Liaocheng,115.9868691,36.45582851
滨州,Binzhou,117.9682924,37.40531394
菏泽,Heze,115.4633598,35.2624405
郑州,Zhengzhou,113.6496438,34.75661006
开封,Kaifeng,114.3516421,34.80185418
洛阳,Luoyang,112.4475248,34.65736782
平顶山,Pingdingshan,113.300849,33.74530146
安阳,Anyang,114.3518065,36.11026672
鹤壁,Hebi,114.2977698,35.75542587
新乡,Xinxiang,113.9126902,35.30725756
焦作,Jiaozuo,113.2118359,35.23460755
濮阳,Puyang,115.0266274,35.75329789
许昌,Xuchang,113.8353125,34.02673959
漯河,Luohe,114.0460614,33.57627869
三门峡,Sanmenxia,111.1812621,34.78331994
南阳,Nanyang,112.5428419,33.01141957
商丘,Shangqiu,115.6418857,34.43858864
信阳,Xinyang,114.085491,32.12858231
周口,Zhoukou,114.6541019,33.62374082
驻马店,Zhumadian,114.0491535,32.98315815
武汉,Wuhan,114.3162001,30.58108413
黄石,Huangshi,115.0506832,30.21612713
十堰,Shiyan,110.8012289,32.63699434
宜昌,Yichang,111.3109811,30.73275782
襄阳,Xiangyang,112.2500928,32.22916859
鄂州,Ezhou,114.895594,30.38443932
荆门,Jingmen,112.2173303,31.0426112
孝感,Xiaogan,113.9357344,30.92795478
荆州,Jingzhou,112.2418658,30.33259052
黄冈,Huanggang,114.906618,30.44610894
咸宁,Xianning,114.3000606,29.88065676
随州,Suizhou,113.3793584,31.71785761
长沙,Changsha,112.9793528,28.21347823
株洲,Zhuzhou,113.1316953,27.82743293
湘潭,Xiangtan,112.9355556,27.83509505
衡阳,Hengyang,112.5838188,26.89816442
邵阳,Shaoyang,111.4615254,27.23681124
岳阳,Yueyang,113.1461955,29.37800708
常德,Changde,111.6537181,29.01214886
张家界,Zhangjiajie,110.4816202,29.12488935
益阳,Yiyang,112.3665466,28.58808778
郴州,Chenzhou,113.0377045,25.78226398
永州,Yongzhou,111.6146477,26.43597165
怀化,Huaihua,109.9869588,27.5574829
娄底,Loudi,111.9963964,27.7410733
广州,Guangzhou,113.3076497,23.1200491
韶关,Shaoguan,113.5944611,24.80296031
深圳,Shenzhen,114.0259737,22.54605355
珠海,Zhuhai,113.562447,22.25691465
汕头,Shantou,116.7286503,23.38390845
佛山,Foshan,113.1340256,23.03509484
江门,Jiangmen,113.0781253,22.57511678
湛江,Zhanjiang,110.3650673,21.2574631
茂名,Maoming,110.9312453,21.66822572
肇庆,Zhaoqing,112.4796534,23.07866328
惠州,Huizhou,114.4106581,23.11353985
梅州,Meizhou,116.1264031,24.30457061
汕尾,Shanwei,115.3729243,22.7787305
河源,Heyuan,114.7137215,23.75725085
阳江,Yangjiang,111.9770098,21.8715173
清远,Qingyuan,113.0407733,23.69846855
东莞,Dongguan,113.763434,23.04302382
中山,Zhongshan,113.42206,22.54517751
潮州,Chaozhou,116.630076,23.66181168
揭阳,Jieyang,116.3795009,23.54799947
云浮,Yunfu,112.050946,22.93797569
南宁,Nanning,108.2972336,22.80649294
柳州,Liuzhou,109.4224018,24.32905335
桂林,Guilin,110.2609201,25.26290125
梧州,Wuzhou,111.305472,23.48539464
北海,Beihai,109.1226279,21.47271824
防城港,Fangchenggang,108.3517912,21.61739847
钦州,Qinzhou,108.6387981,21.97335047
玉林,Yulin1,110.1516763,22.64397361
百色,Baise,106.6318214,23.90151237
贺州,Hezhou,111.5525942,24.41105355
河池,Hechi,108.0699477,24.69952078
来宾,Laibin,109.2318165,23.74116593
崇左,Chongzuo,107.357322,22.4154553
海口,Haikou,110.3308018,20.02207128
三亚,Sanya,109.5227713,18.25777591
成都,Chengdu,104.0679235,30.67994285
自贡,Zigong,104.7760713,29.35915689
攀枝花,Panzhihua,101.7224232,26.58757126
泸州,Luzhou,105.4439703,28.8959298
德阳,Deyang,104.4023978,31.13113965
绵阳,Mianyang,104.705519,31.50470126
广元,Guangyuan,105.8196869,32.44104016
遂宁,Suining,105.5648878,30.55749135
内江,Neijiang,105.073056,29.59946153
乐山,Leshan,103.7608242,29.60095761
南充,Nanchong,106.105554,30.80096517
眉山,Meishan,103.8414296,30.06111508
宜宾,Yibin,104.6330191,28.7696748
广安,Guang’an,106.6357203,30.46398389
达州,Dazhou,107.4949734,31.21419886
雅安,Ya’an,103.0093565,29.99971634
巴中,Bazhong,106.7579158,31.86918916
资阳,Ziyang,104.6359303,30.13219143
贵阳,Guiyang,106.7091771,26.62990674
六盘水,Liupanshui,104.8520868,26.59186606
遵义,Zunyi,106.9312603,27.69996138
安顺,Anshun,105.92827,26.22859458
毕节,Bijie,105.3333234,27.40856213
铜仁,Tongren,109.168558,27.67490269
昆明,Kunming,102.7146011,25.0491531
曲靖,Qujing,103.7825389,25.52075814
玉溪,Yuxi,102.5450679,24.37044713
保山,Baoshan,99.17799561,25.1204892
昭通,Zhaotong,103.7250207,27.34063296
丽江,Lijiang,100.2296284,26.87535109
普洱,Pu'er,100.9800577,22.78877778
临沧,Lincang,100.0926129,23.8878061
拉萨,Lasa,91.1118909,29.66255706
日喀则,Xigaze,88.95606277,29.26816003
昌都,Qamdo,97.18558158,31.14057563
林芝,Linzhi,94.34998546,29.66694063
山南,Shannan,91.75064387,29.22902693
那曲,Naqu,92.03462645,31.25231473
西安,Xi’an,125.1501486,42.98636495
铜川,Tongchuan,108.968067,34.9083677
宝鸡,Baoji,107.1706455,34.36408081
咸阳,Xianyang,108.7075093,34.345373
渭南,Weinan,109.4839327,34.50235798
延安,Yan'an,109.5005098,36.60332035
汉中,Hanzhong,107.0454776,33.08156898
榆林,Yulin2,109.7459257,38.27943924
安康,Ankang,109.0380446,32.70437045
商洛,Shangluo,109.9342082,33.8739074
兰州,Lanzhou,103.8233054,36.06422553
金昌,Jinchang,102.2081263,38.5160718
白银,Baiyin,104.1712409,36.54668171
天水,Tianshui,105.7369316,34.58431942
武威,Wuwei,102.6401473,37.93317214
张掖,Zhangye,100.4598919,38.9393203
平凉,Pingliang,106.6889112,35.55011019
酒泉,Jiuquan,98.50841451,39.74147377
庆阳,Qingyang,107.6442271,35.72680075
定西,Dingxi,104.6266376,35.58605624
陇南,Longnan,104.9345734,33.39447997
西宁,Xining,101.767921,36.64073861
银川,Yinchuan,106.2064786,38.50262101
石嘴山,Shizuishan,106.3793372,39.02022328
吴忠,Wuzhong,106.2082542,37.993561
固原,Guyuan,106.285268,36.02152348
中卫,Zhongwei,105.1967542,37.52112419
乌鲁木齐,Urumqi,87.56498774,43.84038035
克拉玛依,Karamay,84.88118019,45.59433107
吐鲁番,Turpan,89.26602549,42.67892482
哈密,Hami,93.52937301,42.3444671
